support_id,department,email,phone,availability,preferred_channel,description
SUP-001,General Support,support@ingenai.com,+1-800-100-1001,24/7,Email,General product assistance
SUP-002,Technical Support,tech@ingenai.com,+1-800-100-1002,24/7,Phone,Hardware and software troubleshooting
SUP-003,Sales Support,sales@ingenai.com,+1-800-100-1003,Mon-Fri 9AM-6PM,Email,Pre-sales inquiries
SUP-004,Warranty Claims,warranty@ingenai.com,+1-800-100-1004,Mon-Sat 9AM-8PM,Portal,Warranty registration and claims
SUP-005,Returns Team,returns@ingenai.com,+1-800-100-1005,Mon-Fri 9AM-5PM,Email,Product return requests
SUP-006,Billing Support,billing@ingenai.com,+1-800-100-1006,Mon-Fri 9AM-6PM,Phone,Invoices and payments
SUP-007,Enterprise Support,enterprise@ingenai.com,+1-800-100-1007,24/7,Dedicated Manager,Enterprise customers
SUP-008,Education Support,education@ingenai.com,+1-800-100-1008,Mon-Fri 8AM-5PM,Email,Schools and universities
SUP-009,Partner Support,partners@ingenai.com,+1-800-100-1009,Mon-Fri 9AM-6PM,Email,Reseller and partner support
SUP-010,Live Chat,chat@ingenai.com,+1-800-100-1010,24/7,Live Chat,Instant customer assistance
SUP-011,Repair Center North,repair.north@ingenai.com,+1-800-100-1011,Mon-Sat 10AM-7PM,Phone,Device repairs
SUP-012,Repair Center South,repair.south@ingenai.com,+1-800-100-1012,Mon-Sat 10AM-7PM,Phone,Device repairs
SUP-013,Repair Center East,repair.east@ingenai.com,+1-800-100-1013,Mon-Sat 10AM-7PM,Phone,Device repairs
SUP-014,Repair Center West,repair.west@ingenai.com,+1-800-100-1014,Mon-Sat 10AM-7PM,Phone,Device repairs
SUP-015,Driver Downloads,drivers@ingenai.com,+1-800-100-1015,24/7,Knowledge Base,Drivers and updates
SUP-016,AI Features Support,aihelp@ingenai.com,+1-800-100-1016,24/7,Email,AI-related assistance
SUP-017,Premium Care,premium@ingenai.com,+1-800-100-1017,24/7,Phone,Priority support service
SUP-018,Accessory Support,accessories@ingenai.com,+1-800-100-1018,Mon-Fri 9AM-6PM,Email,Laptop accessories
SUP-019,Security Response,security@ingenai.com,+1-800-100-1019,24/7,Email,Security vulnerability reporting
SUP-020,Customer Success,success@ingenai.com,+1-800-100-1020,Mon-Fri 9AM-6PM,Phone,Customer onboarding and success
