resource_id,title,description,skill_level,resource_type,status
EDU-001,Getting Started Guide,Learn how to set up your IngenAI laptop,Beginner,Article,Active
EDU-002,Windows Setup Tutorial,Initial Windows configuration steps,Beginner,Video,Active
EDU-003,AI Features Overview,Introduction to built-in AI tools,Beginner,Article,Active
EDU-004,Battery Optimization,Tips to maximize battery life,Intermediate,Guide,Active
EDU-005,Performance Tuning,Improve laptop speed and responsiveness,Intermediate,Video,Active
EDU-006,Driver Installation,How to install and update drivers,Beginner,Article,Active
EDU-007,Data Backup Basics,Protect your important files,Beginner,Guide,Active
EDU-008,Laptop Security Essentials,Security best practices,Intermediate,Course,Active
EDU-009,Business Productivity Tools,Using productivity applications effectively,Intermediate,Webinar,Active
EDU-010,Gaming Optimization,Improve gaming performance,Advanced,Guide,Active
EDU-011,Content Creation Workflow,Laptop setup for creators,Advanced,Video,Active
EDU-012,Troubleshooting Basics,Common issue resolution steps,Beginner,Article,Active
EDU-013,Wi-Fi Connectivity Help,Fix wireless connection issues,Beginner,Guide,Active
EDU-014,Cloud Storage Training,Using cloud backup and sync,Intermediate,Course,Active
EDU-015,AI Productivity Masterclass,Advanced AI-powered workflows,Advanced,Course,Active
EDU-016,Enterprise Device Management,Managing multiple laptops,Advanced,Webinar,Active
EDU-017,Keyboard Shortcuts Handbook,Boost productivity with shortcuts,Beginner,PDF,Active
EDU-018,Remote Work Setup,Optimize your home office environment,Intermediate,Guide,Active
EDU-019,Warranty & Support Training,Understanding support coverage,Beginner,Article,Active
EDU-020,Advanced System Diagnostics,Deep system troubleshooting techniques,Advanced,Video,Active
