record_id,information_type,value,description,visibility
COMP-001,Company Name,IngenAI,Official company name,Public
COMP-002,Founded,2024,Year the company was established,Public
COMP-003,Headquarters,"San Francisco, CA, USA",Primary business location,Public
COMP-004,Industry,Computer Hardware,Industry classification,Public
COMP-005,Business Type,Laptop Manufacturer,Core business activity,Public
COMP-006,Mission,Empower people through intelligent computing,Company mission statement,Public
COMP-007,Vision,Make AI-powered computing accessible to everyone,Company vision statement,Public
COMP-008,CEO,Alex Morgan,Chief Executive Officer,Internal
COMP-009,Employee Count,850,Approximate workforce size,Internal
COMP-010,Website,www.ingenai.com,Official website,Public
COMP-011,Support Email,support@ingenai.com,Primary support contact,Public
COMP-012,Sales Email,sales@ingenai.com,Sales inquiries contact,Public
COMP-013,Phone Number,+1-800-100-1000,Main contact number,Public
COMP-014,Office Hours,Mon-Fri 9AM-6PM,Business operating hours,Public
COMP-015,Warranty Policy,Up to 3 Years Limited Warranty,Standard warranty information,Public
COMP-016,Global Presence,35 Countries,Markets served worldwide,Public
COMP-017,Authorized Partners,250+ Partners,Partner network size,Public
COMP-018,Research Centers,5 Innovation Labs,R&D facilities,Public
COMP-019,Sustainability Goal,Carbon Neutral by 2030,Environmental commitment,Public
COMP-020,Core Products,"Laptops, AI PCs, Workstations",Main product portfolio,Public
