shipping_id,shipping_method,region,delivery_time,shipping_cost,status,notes
SHIP-001,Standard Shipping,Domestic,3-5 Business Days,$9.99,Active,Tracking Included
SHIP-002,Express Shipping,Domestic,1-2 Business Days,$19.99,Active,Priority Handling
SHIP-003,Same Day Delivery,Local,Same Day,$29.99,Active,Available in Select Cities
SHIP-004,International Standard,International,7-14 Business Days,$39.99,Active,Customs May Apply
SHIP-005,International Express,International,3-5 Business Days,$69.99,Active,Priority Customs Clearance
SHIP-006,Free Shipping,Domestic,5-7 Business Days,$0.00,Active,Orders Above $1000
SHIP-007,Student Delivery Plan,Domestic,3-5 Business Days,$4.99,Active,For Verified Students
SHIP-008,Enterprise Bulk Shipping,Domestic,5-10 Business Days,Custom Quote,Active,Business Orders
SHIP-009,Weekend Delivery,Domestic,Saturday Delivery,$14.99,Active,Weekend Availability
SHIP-010,Holiday Priority,Domestic,1-3 Business Days,$24.99,Seasonal,Holiday Season Only
SHIP-011,Laptop Protection Shipping,Domestic,3-5 Business Days,$12.99,Active,Extra Packaging
SHIP-012,Eco Shipping,Domestic,5-8 Business Days,$6.99,Active,Reduced Carbon Footprint
SHIP-013,Remote Area Delivery,Domestic,7-12 Business Days,$18.99,Active,Remote Locations
SHIP-014,Business Priority Delivery,Domestic,Next Business Day,$34.99,Active,Enterprise Customers
SHIP-015,Pickup Point Delivery,Domestic,2-4 Business Days,$5.99,Active,Pickup Locations Available
SHIP-016,Campus Delivery,Domestic,2-5 Business Days,$7.99,Active,University Campuses
SHIP-017,Replacement Unit Shipping,Domestic,1-3 Business Days,$0.00,Active,Warranty Replacements
SHIP-018,Accessory Shipping,Domestic,3-5 Business Days,$3.99,Active,Accessories Only
SHIP-019,Premium Member Delivery,Domestic,1-2 Business Days,$0.00,Active,Premium Subscribers
SHIP-020,White Glove Delivery,Domestic,Scheduled Delivery,$79.99,Premium,Setup Assistance Included
