product_id,product_name,category,description,processor,ram,storage,price
ING-AIR13,IngenAI Air 13,Ultrabook,Thin and lightweight laptop,Intel Core Ultra 5,16GB,512GB SSD,$899
ING-AIR15,IngenAI Air 15,Ultrabook,Large-screen productivity laptop,Intel Core Ultra 7,16GB,1TB SSD,$1099
ING-PRO14,IngenAI Pro 14,Business,Professional workstation,Intel Core Ultra 7,32GB,1TB SSD,$1499
ING-PRO16,IngenAI Pro 16,Business,High-performance business laptop,Intel Core Ultra 9,32GB,2TB SSD,$1899
ING-GAME15,IngenAI Gaming 15,Gaming,Entry gaming laptop,RTX 4050,16GB,1TB SSD,$1299
ING-GAME17,IngenAI Gaming 17,Gaming,Large-screen gaming laptop,RTX 4060,32GB,1TB SSD,$1699
ING-X1,IngenAI X1,Creator,Content creation laptop,RTX 4070,32GB,2TB SSD,$2199
ING-X2,IngenAI X2,Creator,Advanced creator workstation,RTX 4080,64GB,2TB SSD,$2899
ING-STU13,IngenAI Student 13,Education,Affordable student laptop,Intel i5,8GB,512GB SSD,$699
ING-STU15,IngenAI Student 15,Education,Budget learning laptop,Intel i5,16GB,512GB SSD,$799
ING-ECO14,IngenAI Eco 14,Everyday,Daily-use laptop,AMD Ryzen 5,16GB,512GB SSD,$749
ING-ECO16,IngenAI Eco 16,Everyday,Multitasking laptop,AMD Ryzen 7,16GB,1TB SSD,$949
ING-EDGE14,IngenAI Edge 14,Premium,Premium metal-body laptop,Core Ultra 7,32GB,1TB SSD,$1599
ING-EDGE16,IngenAI Edge 16,Premium,Premium productivity laptop,Core Ultra 9,32GB,2TB SSD,$1999
ING-AI13,IngenAI AI 13,AI-PC,Built-in AI acceleration,Core Ultra 7,16GB,1TB SSD,$1299
ING-AI15,IngenAI AI 15,AI-PC,Advanced AI productivity laptop,Core Ultra 9,32GB,1TB SSD,$1699
ING-TRAVEL13,IngenAI Travel 13,Portable,Travel-friendly notebook,Intel i5,16GB,512GB SSD,$849
ING-TRAVEL14,IngenAI Travel 14,Portable,Long-battery laptop,Intel i7,16GB,1TB SSD,$999
ING-WORK15,IngenAI Work 15,Business,Office productivity laptop,Intel i7,16GB,512GB SSD,$1049
ING-WORK17,IngenAI Work 17,Business,Enterprise productivity laptop,Intel i7,32GB,1TB SSD,$1399
